x,y
10822.536130249,0.718385904
10902.113601795,0.722247425
10981.691073341,0.726088731
11061.268544887,0.72990995
11140.846016433,0.733711211
11220.423487979,0.737492641
11300.000959525,0.741254369
11379.578431071,0.744996521
11459.155902616,0.748719223
11538.733374162,0.752422602
11618.310845708,0.756106782
11697.888317254,0.759771889
11777.4657888,0.763418046
11857.043260346,0.767045377
11936.620731892,0.770654006
12016.198203438,0.774244054
12095.775674984,0.777815643
12175.35314653,0.781368895
12254.930618076,0.78490393
12334.508089622,0.788420868
12414.085561168,0.791919828
12493.663032714,0.795400928
12573.24050426,0.798864288
12652.817975806,0.802310023
12732.395447352,0.80573825
12811.972918898,0.809149085
12891.550390444,0.812542644
12971.127861989,0.81591904
13050.705333535,0.819278388
13130.282805081,0.822620801
13209.860276627,0.825946391
13289.437748173,0.829255269
13369.015219719,0.832547548
13448.592691265,0.835823336
13528.170162811,0.839082743
13607.747634357,0.842325879
13687.325105903,0.845552851
13766.902577449,0.848763768
13846.480048995,0.851958734
13926.057520541,0.855137857
14005.634992087,0.858301243
14085.212463633,0.861448994
14164.789935179,0.864581216
14244.367406725,0.867698011
14323.944878271,0.870799482
14403.522349817,0.87388573
14483.099821362,0.876956857
14562.677292908,0.880012963
14642.254764454,0.883054147
14721.832236,0.886080509
14801.409707546,0.889092146
14880.987179092,0.892089156
14960.564650638,0.895071636
15040.142122184,0.898039683
15119.71959373,0.90099339
15199.297065276,0.903932854
15278.874536822,0.906858168
15358.452008368,0.909769425
15438.029479914,0.912666719
15517.60695146,0.915550141
15597.184423006,0.918419782
15676.761894552,0.921275734
15756.339366098,0.924118086
15835.916837644,0.926946928
15915.49430919,0.929762348
15995.071780735,0.932564434
16074.649252281,0.935353274
16154.226723827,0.938128954
16233.804195373,0.940891561
16313.381666919,0.943641179
16392.959138465,0.946377895
16472.536610011,0.949101791
16552.114081557,0.951812951
16631.691553103,0.954511459
16711.269024649,0.957197396
16790.846496195,0.959870845
16870.423967741,0.962531885
16950.001439287,0.965180599
17029.578910833,0.967817064
17109.156382379,0.970441362
17188.733853925,0.97305357
17268.311325471,0.975653766
17347.888797017,0.978242028
17427.466268563,0.980818432
17507.043740108,0.983383056
17586.621211654,0.985935974
17666.1986832,0.988477261
17745.776154746,0.991006993
17825.353626292,0.993525243
17904.931097838,0.996032084
17984.508569384,0.99852759
18064.08604093,1.001011833
18143.663512476,1.003484884
18223.240984022,1.005946815
18302.818455568,1.008397696
18382.395927114,1.010837597
18461.97339866,1.013266589
18541.550870206,1.015684739
18621.128341752,1.018092117
18700.705813298,1.020488791
18780.283284844,1.022874827
18859.86075639,1.025250294
18939.438227936,1.027615257
19019.015699481,1.029969783
19098.593171027,1.032313936
19178.170642573,1.034647782
19257.748114119,1.036971385
19337.325585665,1.03928481
19416.903057211,1.041588119
19496.480528757,1.043881376
19576.058000303,1.046164644
19655.635471849,1.048437983
19735.212943395,1.050701456
19814.790414941,1.052955124
19894.367886487,1.055199048
19973.945358033,1.057433287
20053.522829579,1.059657902
20133.100301125,1.061872951
20212.677772671,1.064078494
20292.255244217,1.066274589
20371.832715763,1.068461293
20451.410187309,1.070638665
20530.987658855,1.072806761
20610.5651304,1.074965638
20690.142601946,1.077115352
20769.720073492,1.079255959
20849.297545038,1.081387514
20928.875016584,1.083510072
21008.45248813,1.085623688
21088.029959676,1.087728416
21167.607431222,1.089824309
21247.184902768,1.091911421
21326.762374314,1.093989804
21406.33984586,1.096059512
21485.917317406,1.098120596
21565.494788952,1.100173108
21645.072260498,1.102217099
21724.649732044,1.10425262
21804.22720359,1.106279722
21883.804675136,1.108298455
21963.382146682,1.110308869
22042.959618228,1.112311013
22122.537089773,1.114304937
22202.114561319,1.116290688
22281.692032865,1.118268315
22361.269504411,1.120237867
22440.846975957,1.122199391
22520.424447503,1.124152933
22600.001919049,1.126098542
22679.579390595,1.128036264
22759.156862141,1.129966144
22838.734333687,1.131888229
22918.311805233,1.133802564
22997.889276779,1.135709195
23077.466748325,1.137608167
23157.044219871,1.139499523
23236.621691417,1.141383308
23316.199162963,1.143259566
23395.776634509,1.145128341
23475.354106055,1.146989676
23554.931577601,1.148843614
23634.509049146,1.150690197
23714.086520692,1.152529468
23793.663992238,1.154361468
23873.241463784,1.15618624
23952.81893533,1.158003825
24032.396406876,1.159814264
24111.973878422,1.161617597
24191.551349968,1.163413866
24271.128821514,1.16520311
24350.70629306,1.166985369
24430.283764606,1.168760684
24509.861236152,1.170529092
24589.438707698,1.172290634
24669.016179244,1.174045348
24748.59365079,1.175793273
24828.171122336,1.177534446
24907.748593882,1.179268907
24987.326065428,1.180996691
25066.903536974,1.182717838
25146.481008519,1.184432383
25226.058480065,1.186140365
25305.635951611,1.187841819
25385.213423157,1.189536781
25464.790894703,1.191225289
25544.368366249,1.192907377
25623.945837795,1.194583081
25703.523309341,1.196252437
25783.100780887,1.19791548
25862.678252433,1.199572244
25942.255723979,1.201222765
26021.833195525,1.202867075
26101.410667071,1.204505211
26180.988138617,1.206137204
26260.565610163,1.20776309
26340.143081709,1.209382901
26419.720553255,1.21099667
26499.298024801,1.212604431
26578.875496347,1.214206216
26658.452967892,1.215802057
26738.030439438,1.217391987
26817.607910984,1.218976038
26897.18538253,1.220554241
26976.762854076,1.222126629
27056.340325622,1.223693232
27135.917797168,1.225254081
27215.495268714,1.226809208
27295.07274026,1.228358643
27374.650211806,1.229902417
27454.227683352,1.231440559
27533.805154898,1.232973101
27613.382626444,1.234500071
27692.96009799,1.2360215
27772.537569536,1.237537417
27852.115041082,1.239047851
27931.692512628,1.240552831
28011.269984174,1.242052386
28090.84745572,1.243546545
28170.424927265,1.245035335
28250.002398811,1.246518787
28329.579870357,1.247996927
28409.157341903,1.249469783
28488.734813449,1.250937383
28568.312284995,1.252399755
28647.889756541,1.253856925
28727.467228087,1.255308922
28807.044699633,1.256755771
28886.622171179,1.2581975
28966.199642725,1.259634136
29045.777114271,1.261065704
29125.354585817,1.262492231
29204.932057363,1.263913743
29284.509528909,1.265330266
29364.087000455,1.266741825
29443.664472001,1.268148447
29523.241943547,1.269550156
29602.819415093,1.270946977
29682.396886638,1.272338936
29761.974358184,1.273726058
29841.55182973,1.275108367
29921.129301276,1.276485888
30000.706772822,1.277858645
30080.284244368,1.279226662
30159.861715914,1.280589964
30239.43918746,1.281948574
30319.016659006,1.283302516
30398.594130552,1.284651813
30478.171602098,1.28599649
30557.749073644,1.287336569
30637.32654519,1.288672073
30716.904016736,1.290003026
30796.481488282,1.29132945
30876.058959828,1.292651368
30955.636431374,1.293968802
31035.21390292,1.295281775
31114.791374466,1.296590309
31194.368846011,1.297894426
31273.946317557,1.299194148
31353.523789103,1.300489497
31433.101260649,1.301780495
31512.678732195,1.303067162
31592.256203741,1.304349521
31671.833675287,1.305627593
31751.411146833,1.306901398
31830.988618379,1.308170958
31910.566089925,1.309436294
31990.143561471,1.310697426
32069.721033017,1.311954375
32149.298504563,1.313207161
32228.875976109,1.314455805
32308.453447655,1.315700327
32388.030919201,1.316940746
32467.608390747,1.318177083
32547.185862293,1.319409358
32626.763333839,1.32063759
32706.340805384,1.321861799
32785.91827693,1.323082005
32865.495748476,1.324298225
32945.073220022,1.325510481
33024.650691568,1.32671879
33104.228163114,1.327923172
33183.80563466,1.329123646
33263.383106206,1.33032023
33342.960577752,1.331512943
33422.538049298,1.332701803
33502.115520844,1.333886829
33581.69299239,1.335068039
33661.270463936,1.336245451
33740.847935482,1.337419084
33820.425407028,1.338588954
33900.002878574,1.33975508
33979.58035012,1.34091748
